season,bracket,week,round,game_type,seed_1,team_1,score_1,seed_2,team_2,score_2,winner
2018,championship,15,2,semifinal,1,Gonna Get a TD,118.62,4,Going Streaking,85.88,
2018,championship,15,2,semifinal,2,Dave H's Team,119.60,3,Good Times,112.04,
2018,consolation,15,1,semifinal,5,Eric's Team,50.42,8,angry cat,111.54,
2018,consolation,15,1,semifinal,6,OBJYN,108.50,7,Jamie's Fine Team,79.62,
2018,championship,16,3,final,1,Gonna Get a TD,128.02,2,Dave H's Team,121.80,
2018,championship,16,3,3rd_place,4,Going Streaking,108.98,3,Good Times,111.66,
2018,consolation,16,2,5th_place,8,angry cat,101.14,6,OBJYN,125.04,
2018,consolation,16,2,7th_place,5,Eric's Team,129.26,7,Jamie's Fine Team,53.84,
2019,championship,14,1,quarterfinal,4,Good Times,131.12,5,Al's Team,95.60,
2019,championship,14,1,quarterfinal,3,Going Streaking,135.58,6,OBJYN,123.52,
2019,championship,15,2,semifinal,1,Gonna Get a TD,101.60,4,Good Times,131.46,
2019,championship,15,2,semifinal,3,Going Streaking,123.66,2,Whiskey DITKA,84.82,
2019,consolation,15,1,semifinal,7,Eric's Team,100.32,10,angry cat,133.48,
2019,consolation,15,1,semifinal,9,Baker Aker FTW,87.80,8,PokerA9,73.56,
2019,championship,16,3,final,4,Good Times,115.36,3,Going Streaking,106.48,
2019,championship,16,3,3rd_place,1,Gonna Get a TD,93.24,2,Whiskey DITKA,77.36,
2019,consolation,16,2,7th_place,10,angry cat,90.60,9,Baker Aker FTW,99.42,
2020,championship,14,1,quarterfinal,4,Eric's Team,164.90,5,Big Al,167.82,
2020,championship,14,1,quarterfinal,3,PokerA9,122.92,6,Good Times,110.62,
2020,championship,15,2,semifinal,1,Gonna Get a TD,122.76,5,Big Al,140.22,
2020,championship,15,2,semifinal,3,PokerA9,102.04,2,Going Streaking,125.50,
2020,consolation,15,1,semifinal,7,angry cat,94.04,10,11 Bar Blues,89.62,
2020,consolation,15,1,semifinal,9,Drafted 3 Defenses🤦‍♂️,116.24,8,Whiskey DITKA,121.22,
2020,championship,16,3,final,5,Big Al,113.82,2,Going Streaking,213.42,
2020,championship,16,3,3rd_place,1,Gonna Get a TD,105.62,3,PokerA9,103.40,
2020,consolation,16,2,7th_place,7,angry cat,101.98,8,Whiskey DITKA,123.16,
2021,championship,15,1,quarterfinal,4,The Bald Beauty,82.38,5,Going Streaking,126.34,
2021,championship,15,1,quarterfinal,3,Big Al,72.30,6,PNW,70.76,
2021,championship,16,2,semifinal,1,Good Times,137.96,5,Going Streaking,151.66,
2021,championship,16,2,semifinal,3,Big Al,123.98,2,Eric's Team,101.94,
2021,consolation,16,1,semifinal,7,11 Bar Blues,105.10,10,Whiskey DITKA,134.88,
2021,consolation,16,1,semifinal,9,Gonna Get a TD,112.72,8,PokerA9,117.30,
2021,championship,17,3,final,5,Going Streaking,117.16,3,Big Al,121.96,
2021,championship,17,3,3rd_place,1,Good Times,141.70,2,Eric's Team,73.38,
2021,consolation,17,2,7th_place,10,Whiskey DITKA,84.72,8,PokerA9,99.14,
2022,championship,15,1,quarterfinal,4,Fuck It Kupp It,104.32,5,Mini DITKA,106.62,
2022,championship,15,1,quarterfinal,3,Eric's Team,152.10,6,Carmala,118.24,
2022,championship,16,2,semifinal,1,Good Times,136.28,5,Mini DITKA,128.92,
2022,championship,16,2,semifinal,3,Eric's Team,133.90,2,Gonna Get a TD,113.86,
2022,consolation,16,1,semifinal,7,Big Al,92.96,10,The Bald Beauty,108.10,
2022,consolation,16,1,semifinal,9,11 Bar Blues,97.10,8,PNW🏔,68.50,
2022,championship,17,3,final,1,Good Times,92.60,3,Eric's Team,80.56,
2022,championship,17,3,3rd_place,5,Mini DITKA,45.28,2,Gonna Get a TD,117.32,
2022,consolation,17,2,7th_place,10,The Bald Beauty,103.10,9,11 Bar Blues,127.90,
2023,championship,15,1,quarterfinal,4,PNW🌲,102.66,5,Good Times,114.36,
2023,championship,15,1,quarterfinal,3,The Bald Beauty,82.46,6,Big Al,106.04,
2023,championship,16,2,semifinal,1,Eric's Team,158.44,5,Good Times,117.18,
2023,championship,16,2,semifinal,6,Big Al,101.56,2,11 Bar Blues,91.38,
2023,consolation,16,1,semifinal,7,Carmala,130.32,10,Mini DITKA,69.02,
2023,consolation,16,1,semifinal,9,Gonna Get a TD,75.70,8,The Big Dog,60.40,
2023,championship,17,3,final,1,Eric's Team,147.88,6,Big Al,109.14,
2023,championship,17,3,3rd_place,5,Good Times,86.36,2,11 Bar Blues,111.96,
2023,consolation,17,2,7th_place,7,Carmala,86.88,9,Gonna Get a TD,77.20,
2024,championship,15,1,quarterfinal,4,Big Al,130.60,5,Eric's Team,166.16,
2024,championship,15,1,quarterfinal,3,Kickin' Balls,104.72,6,The Bald Beauty,137.94,
2024,championship,16,2,semifinal,1,Good Times,159.36,5,Eric's Team,145.84,
2024,championship,16,2,semifinal,6,The Bald Beauty,119.14,2,11 Bar Blues,178.08,
2024,consolation,16,1,semifinal,7,The Big Dog,61.50,10,Aro High,119.88,
2024,consolation,16,1,semifinal,9,Gonna Get a TD,142.64,8,Mini DITKA,79.50,
2024,championship,17,3,final,1,Good Times,131.68,2,11 Bar Blues,112.28,
2024,championship,17,3,3rd_place,5,Eric's Team,145.12,6,The Bald Beauty,100.20,
2024,consolation,17,2,7th_place,10,Aro High,67.14,9,Gonna Get a TD,136.48,
2025,championship,15,1,quarterfinal,4,The Bald Beauty,142.40,5,Good Times,116.12,
2025,championship,15,1,quarterfinal,3,The Big Dog,106.62,6,11 Bar Blues,169.44,
2025,championship,16,2,semifinal,1,Mini DITKA,106.28,4,The Bald Beauty,124.90,
2025,championship,16,2,semifinal,6,11 Bar Blues,88.82,2,Eric's Team,88.20,
2025,consolation,16,1,semifinal,7,Raving 45,129.66,10,My ball Zach Ertz,82.50,
2025,consolation,16,1,semifinal,9,Kickin' Balls,88.18,8,Gonna Get a TD,135.68,
2025,championship,17,3,final,4,The Bald Beauty,113.82,6,11 Bar Blues,80.28,
2025,championship,17,3,3rd_place,1,Mini DITKA,91.86,2,Eric's Team,119.74,
2025,consolation,17,2,7th_place,7,Raving 45,95.78,8,Gonna Get a TD,99.58,
