season,rank,team_name,wins,losses,ties,points_for,points_against,streak,waiver_priority,moves
2018,1,Gonna Get a TD,10,4,0,1696.56,1530.12,W-2,$0,10
2018,2,Dave H's Team,9,5,0,1785.88,1652.58,W-1,$0,9
2018,3,Good Times,9,5,0,1863.90,1649.28,W-1,$52,8
2018,4,Going Streaking,8,6,0,1826.52,1626.52,L-1,$15,7
2018,5,OBJYN,7,7,0,1674.10,1752.92,L-1,$81,5
2018,6,angry cat,6,8,0,1565.46,1613.34,W-1,$103,3
2018,7,Eric's Team,8,6,0,1767.12,1592.88,L-2,$18,6
2018,8,Jamie's Fine Team,6,8,0,1578.50,1624.52,W-3,$90,4
2018,9,Who is John Galt?,4,10,0,1398.04,1815.88,L-1,$84,2
2018,10,PokerA9,3,11,0,1521.76,1819.80,L-8,$70,1
2019,1,Good Times,8,5,0,1478.74,1416.96,L-1,$70,7
2019,2,Going Streaking,8,5,0,1516.26,1442.60,W-4,$8,8
2019,3,Gonna Get a TD,10,3,0,1610.58,1353.16,W-1,$3,10
2019,4,Whiskey DITKA,8,5,0,1354.16,1354.48,W-2,$40,9
2019,5,Al's Team,7,6,0,1623.20,1586.94,L-1,$82,6
2019,6,OBJYN,6,7,0,1552.52,1404.44,L-1,$80,5
2019,7,Baker Aker FTW,4,9,0,1356.54,1453.80,L-5,$97,2
2019,8,angry cat,4,9,0,1282.90,1476.46,W-1,$65,1
2019,9,Eric's Team,6,7,0,1440.36,1609.98,W-1,$49,4
2019,10,PokerA9,4,9,0,1368.36,1484.80,L-4,$95,3
2020,1,Going Streaking,9,4,0,1623.44,1486.38,W-4,$0,9
2020,2,Big Al,7,6,0,1501.86,1434.98,L-5,$106,6
2020,3,Gonna Get a TD,10,3,0,1559.10,1362.36,W-5,$0,10
2020,4,PokerA9,9,4,0,1487.44,1404.02,W-1,$103,8
2020,5,Eric's Team,8,5,0,1564.94,1531.94,W-5,$31,7
2020,6,Good Times,7,6,0,1500.32,1479.62,L-2,$18,5
2020,7,Whiskey DITKA,4,9,0,1525.32,1626.38,W-2,$44,3
2020,8,angry cat,5,8,0,1459.88,1495.22,L-3,$96,4
2020,9,11 Bar Blues,3,10,0,1289.44,1486.30,L-4,$47,1
2020,10,Drafted 3 Defenses🤦‍♂️,3,10,0,1391.32,1595.86,L-1,$125,2
2021,1,Big Al,8,6,0,1695.18,1612.20,L-2,$27,7
2021,2,Going Streaking,7,7,0,1633.62,1638.04,L-3,$0,5
2021,3,Good Times,12,2,0,1969.26,1444.70,W-7,$24,9
2021,4,Eric's Team,11,3,0,1811.40,1544.38,W-6,$18,8
2021,5,The Bald Beauty,8,6,0,1542.66,1582.36,W-3,$0,6
2021,6,PNW,6,8,0,1557.90,1677.76,L-1,$86,4
2021,7,PokerA9,5,9,0,1428.44,1599.76,L-4,$96,2
2021,8,Whiskey DITKA,4,10,0,1456.36,1786.64,W-1,$25,1
2021,9,11 Bar Blues,5,9,0,1489.30,1572.38,L-1,$52,3
2021,10,Gonna Get a TD,4,10,0,1510.68,1636.58,W-1,$88,10
2022,1,Good Times,11,3,0,1788.20,1454.56,L-3,$6,10
2022,2,Eric's Team,9,5,0,1730.74,1683.38,L-2,$0,8
2022,3,Gonna Get a TD,9,5,0,1634.78,1507.14,L-1,$0,9
2022,4,Mini DITKA,7,7,0,1457.10,1503.30,L-1,$38,6
2022,5,Carmala,7,7,0,1373.80,1496.34,W-1,$96,5
2022,6,Fuck It Kupp It,7,7,0,1621.26,1623.74,W-4,$0,7
2022,7,11 Bar Blues,5,9,0,1459.02,1632.12,W-2,$95,2
2022,8,The Bald Beauty,5,9,0,1385.48,1443.12,W-1,$59,1
2022,9,Big Al,5,9,0,1605.50,1611.40,L-5,$105,4
2022,10,PNW🏔,5,9,0,1499.36,1600.14,W-2,$154,3
2023,1,Eric's Team,10,4,0,1799.80,1516.92,W-4,$2,10
2023,2,Big Al,7,7,0,1588.44,1574.44,L-3,$118,5
2023,3,11 Bar Blues,10,4,0,1613.58,1434.34,W-1,$19,9
2023,4,Good Times,7,7,0,1600.12,1586.96,L-2,$45,6
2023,5,The Bald Beauty,8,6,0,1559.54,1555.40,W-2,$0,8
2023,6,PNW🌲,7,7,0,1624.44,1563.26,W-3,$39,7
2023,7,Carmala,7,7,0,1478.24,1521.42,L-2,$104,4
2023,8,Gonna Get a TD,5,9,0,1386.38,1666.58,L-5,$38,2
2023,9,The Big Dog,6,8,0,1382.02,1435.74,W-2,$0,3
2023,10,Mini DITKA,3,11,0,1332.48,1509.98,L-1,$125,1
2024,1,Good Times,10,4,0,1732.22,1516.22,W-2,$15,10
2024,2,11 Bar Blues,7,7,0,1556.06,1588.06,W-1,$88,9
2024,3,Eric's Team,8,6,0,1628.10,1549.18,L-1,$0,6
2024,4,The Bald Beauty,7,7,0,1707.94,1603.82,W-1,$0,5
2024,5,Kickin' Balls,9,5,0,1631.56,1491.38,W-1,$23,8
2024,6,Big Al,9,5,0,1459.80,1596.28,L-1,$130,7
2024,7,Gonna Get a TD,4,10,0,1536.98,1563.50,L-2,$0,2
2024,8,Aro High,4,10,0,1499.76,1716.92,L-1,$79,1
2024,9,The Big Dog,7,7,0,1506.78,1474.64,W-3,$0,4
2024,10,Mini DITKA,5,9,0,1373.06,1532.26,L-2,$165,3
2025,1,The Bald Beauty,9,5,0,1637.88,1564.86,L-1,$0,6
2025,2,11 Bar Blues,7,7,0,1622.38,1559.12,L-2,$2,4
2025,3,Eric's Team,10,4,0,1668.74,1467.84,W-4,$50,8
2025,4,Mini DITKA,11,3,0,1823.66,1564.18,W-2,$73,9
2025,5,The Big Dog,9,5,0,1659.30,1497.60,W-5,$1,7
2025,6,Good Times,7,7,0,1647.18,1560.34,W-1,$37,5
2025,7,Gonna Get a TD,5,9,0,1387.96,1557.96,W-1,$19,10
2025,8,Raving 45,5,9,0,1389.80,1591.92,L-1,$64,3
2025,9,My ball Zach Ertz,3,11,0,1302.72,1632.76,L-5,$33,1
2025,10,Kickin' Balls,4,10,0,1481.36,1624.40,L-3,$87,2
