season,date,team_name,players_in,players_in_pos,trade_partner
2018,"Oct 6, 3:33 am",Going Streaking,Devonta Freeman,Bal - RB,Jamie's Fine Team
2018,"Oct 6, 3:33 am",Jamie's Fine Team,A.J. Green,Ari - WR,Going Streaking
2019,"Oct 18, 3:21 am",Gonna Get a TD,O.J. Howard,Hou - TE,Baker Aker FTW
2019,"Oct 18, 3:21 am",Baker Aker FTW,T.J. Hockenson,Min - TE,Gonna Get a TD
2020,"Oct 20, 4:07 am",Gonna Get a TD,Travis Fulgham,GB - WR,Eric's Team
2020,"Oct 20, 4:07 am",Eric's Team,James Robinson,NO - RB,Gonna Get a TD
2020,"Oct 15, 5:01 am",11 Bar Blues,Michael Gallup,Was - WR,Gonna Get a TD
2020,"Oct 15, 5:01 am",Gonna Get a TD,Kenyan Drake,Bal - RB,11 Bar Blues
2021,"Nov 20, 3:23 am",11 Bar Blues,Joe Burrow|Cam Akers,Cin - QB|Sea - RB,Going Streaking
2021,"Nov 20, 3:23 am",Going Streaking,Jalen Hurts,Phi - QB,11 Bar Blues
2022,"Nov 17, 3:12 am",Fuck It Kupp It,Jonathan Taylor|Justin Herbert|Allen Lazard|Leonard Fournette,Ind - RB|LAC - QB|NYJ - WR|Buf - RB,Eric's Team
2022,"Nov 17, 3:12 am",Eric's Team,DeAndre Hopkins|Travis Kelce|Jalen Hurts,Bal - WR|KC - TE|Phi - QB,Fuck It Kupp It
2024,"Sep 24, 3:11 am",Kickin' Balls,Travis Kelce|Kyren Williams,KC - TE|LAR - RB,Eric's Team
2024,"Sep 24, 3:11 am",Eric's Team,Amon-Ra St. Brown,Det - WR,Kickin' Balls
2025,"Oct 10, 3:30 am",Gonna Get a TD,Malik Nabers,NYG - WR,The Big Dog
2025,"Oct 10, 3:30 am",The Big Dog,Jahmyr Gibbs,Det - RB,Gonna Get a TD
